X,Y,Z,Label
16,-145,993,O
14,-159,1000,O
21,-153,998,O
32,-147,999,O
44,-137,994,O
59,-130,1008,O
59,-117,1002,O
65,-120,986,O
61,-118,961,O
79,-126,929,O
58,-118,925,O
67,-124,940,O
66,-110,914,O
69,-90,902,O
68,-100,916,O
75,-78,926,O
81,-70,932,O
74,-76,932,O
79,-73,918,O
75,-84,919,O
86,-93,913,O
91,-83,926,O
96,-81,946,O
108,-64,938,O
99,-65,930,O
106,-56,926,O
101,-54,926,O
105,-54,927,O
102,-60,947,O
109,-53,952,O
103,-49,938,O
104,-47,942,O
98,-28,923,O
98,5,928,O
117,27,967,O
117,26,968,O
126,11,952,O
127,1,946,O
133,10,921,O
138,39,931,O
151,76,958,O
165,84,965,O
176,97,937,O
187,91,955,O
187,69,953,O
159,72,951,O
159,81,949,O
156,84,922,O
151,91,940,O
164,109,942,O
164,94,939,O
153,99,931,O
159,92,945,O
179,79,944,O
189,70,925,O
195,56,907,O
192,61,896,O
193,56,891,O
193,62,837,O
167,64,804,O
177,64,781,O
157,83,795,O
158,108,802,O
178,133,814,O
200,128,826,O
201,145,787,O
227,153,788,O
238,165,784,O
251,193,833,O
270,228,832,O
289,251,834,O
298,288,818,O
298,331,825,O
337,331,834,O
358,339,855,O
406,356,876,O
426,378,906,O
440,419,954,O
466,453,942,O
478,485,937,O
483,495,863,O
486,498,826,O
494,497,810,O
516,480,861,O
523,424,933,O
533,385,1011,O
533,350,1072,O
527,317,1098,O
502,305,1056,O
510,303,1023,O
507,313,949,O
524,335,919,O
545,341,954,O
573,324,995,O
592,296,1058,O
601,268,1137,O
602,224,1122,O
580,229,1104,O
582,196,1078,O
575,193,1015,O
589,222,966,O
630,229,948,O
632,220,966,O
632,202,1021,O
647,168,1057,O
630,131,1085,O
599,123,1079,O
600,99,1049,O
605,116,1015,O
598,140,983,O
608,151,974,O
601,155,947,O
618,167,970,O
621,160,1031,O
635,146,1044,O
650,125,1088,O
638,115,1119,O
653,109,1130,O
669,110,1126,O
678,127,1096,O
680,152,1087,O
685,168,1068,O
691,180,1031,O
664,173,1018,O
658,145,995,O
641,146,1015,O
638,144,968,O
627,115,974,O
603,93,956,O
592,49,966,O
566,35,1020,O
548,17,1017,O
541,18,1009,O
523,7,1035,O
509,-12,1053,O
519,-25,1024,O
485,-48,1027,O
480,-65,1032,O
496,-75,994,O
471,-73,1025,O
480,-76,1045,O
472,-72,1047,O
471,-65,1039,O
469,-57,1006,O
460,-69,985,O
459,-67,981,O
474,-62,1007,O
482,-88,1051,O
466,-100,1051,O
473,-95,1064,O
475,-100,1069,O
453,-70,1074,O
450,-31,1082,O
451,-14,1074,O
435,-23,1028,O
401,-84,1041,O
372,-96,1018,O
360,-108,1018,O
333,-111,1027,O
329,-103,1009,O
307,-77,942,O
287,-61,910,O
279,-57,911,O
271,-47,913,O
263,-37,874,O
263,-40,866,O
237,-45,844,O
227,-67,854,O
218,-69,825,O
216,-65,798,O
199,-39,784,O
194,-26,759,O
185,-8,717,O
175,-34,743,O
156,-54,762,O
164,-67,741,O
153,-83,774,O
148,-92,817,O
141,-70,793,O
139,-56,779,O
150,-43,787,O
140,-28,785,O
128,-6,789,O
132,4,808,O
137,-13,861,O
129,-27,884,O
128,-62,929,O
120,-94,953,O
127,-86,949,O
134,-62,934,O
145,-14,924,O
167,17,920,O
152,22,916,O
134,26,905,O
106,14,887,O
104,17,895,O
115,6,915,O
106,36,913,O
108,76,909,O
96,123,932,O
102,157,913,O
86,190,861,O
70,213,852,O
71,248,838,O
74,252,870,O
63,258,880,O
69,277,881,O
60,300,912,O
61,333,918,O
77,359,906,O
98,378,927,O
108,374,931,O
107,361,939,O
100,353,960,O
93,355,966,O
79,362,998,O
66,339,1026,O
54,348,1007,O
52,348,974,O
60,350,963,O
57,341,975,O
62,331,977,O
57,298,1000,O
53,291,1007,O
57,265,1023,O
68,246,1039,O
75,217,1047,O
81,199,1056,O
67,202,1039,O
70,186,1032,O
78,183,1017,O
74,162,1023,O
57,147,1020,O
53,123,1004,O
40,108,990,O
44,113,986,O
42,104,994,O
43,106,1008,O
50,94,994,O
40,85,986,O
39,84,981,O
41,84,979,O
44,89,978,O
56,57,991,O
59,37,1013,O
62,47,1009,O
58,55,1003,O
64,59,1009,O
65,59,1017,O
33,-150,1051,O
34,-165,1021,O
18,-169,1001,O
23,-169,994,O
35,-190,968,O
18,-173,953,O
17,-175,931,O
33,-194,934,O
42,-194,917,O
55,-197,914,O
46,-175,898,O
64,-169,864,O
58,-149,808,O
58,-106,796,O
49,-79,776,O
62,-38,801,O
70,0,834,O
85,26,835,O
96,27,812,O
95,26,828,O
122,28,793,O
128,39,798,O
136,63,795,O
139,83,778,O
150,102,802,O
155,106,810,O
160,117,816,O
173,131,801,O
186,137,801,O
201,127,789,O
209,139,806,O
211,145,795,O
215,161,792,O
200,189,787,O
210,227,807,O
220,260,787,O
230,269,790,O
241,295,781,O
247,317,759,O
247,343,751,O
242,384,727,O
254,422,749,O
275,439,739,O
307,449,738,O
341,468,759,O
383,465,818,O
401,427,883,O
396,391,943,O
391,381,971,O
390,381,989,O
405,394,990,O
398,441,959,O
423,483,922,O
452,493,918,O
476,499,925,O
502,479,937,O
492,465,932,O
485,454,973,O
478,470,1006,O
488,475,1005,O
492,484,1008,O
518,476,1021,O
534,461,1043,O
539,444,1084,O
550,413,1108,O
585,371,1074,O
547,368,1060,O
534,360,1063,O
535,353,1045,O
542,346,1092,O
546,327,1108,O
555,309,1113,O
547,307,1073,O
553,306,1063,O
569,277,1070,O
548,252,1079,O
551,205,1046,O
541,203,976,O
499,206,933,O
501,210,912,O
500,187,892,O
479,190,855,O
484,197,845,O
510,187,859,O
508,168,932,O
514,141,971,O
512,131,975,O
525,110,945,O
510,98,958,O
502,82,980,O
519,81,1012,O
529,81,1005,O
534,76,1026,O
522,82,1027,O
514,88,1014,O
524,101,1028,O
518,102,1032,O
522,95,1020,O
524,83,1047,O
500,56,1063,O
504,51,1022,O
504,81,985,O
501,98,971,O
520,98,977,O
524,84,1010,O
527,83,1028,O
537,66,1041,O
552,40,1038,O
537,44,1074,O
547,25,1094,O
557,22,1078,O
544,35,1066,O
545,52,1066,O
539,53,1084,O
516,50,1090,O
531,23,1080,O
521,-10,1073,O
506,-5,1083,O
491,-4,1102,O
483,-27,1088,O
467,-27,1088,O
451,-16,1092,O
458,-26,1095,O
442,-40,1146,O
435,-25,1116,O
444,-19,1061,O
428,-24,1025,O
427,-24,1003,O
400,-41,1001,O
387,-39,1020,O
389,-44,1035,O
387,-48,1018,O
365,-49,1016,O
350,-43,1034,O
345,-53,1034,O
322,-60,1048,O
309,-68,1050,O
289,-85,1033,O
278,-135,1054,O
269,-150,1050,O
262,-143,1036,O
265,-116,1036,O
260,-110,1042,O
248,-81,1021,O
240,-72,989,O
230,-97,984,O
212,-123,968,O
204,-170,952,O
219,-170,931,O
223,-132,913,O
248,-80,885,O
244,-12,844,O
245,33,822,O
240,61,787,O
220,16,809,O
192,-46,827,O
163,-98,852,O
151,-153,874,O
127,-149,874,O
142,-98,839,O
144,-53,838,O
137,-14,800,O
137,18,778,O
122,20,785,O
114,-10,778,O
102,-77,811,O
87,-124,827,O
105,-145,843,O
93,-134,826,O
124,-70,791,O
131,-8,761,O
131,56,767,O
132,130,768,O
103,171,772,O
85,204,799,O
73,202,864,O
50,211,869,O
30,247,855,O
29,294,851,O
44,346,834,O
37,379,845,O
46,414,875,O
38,436,860,O
41,460,827,O
36,451,836,O
32,430,859,O
43,422,897,O
55,416,930,O
65,395,952,O
70,368,960,O
77,336,962,O
68,307,981,O
52,280,1004,O
50,257,1046,O
64,239,1071,O
56,217,1051,O
37,198,1049,O
37,180,1037,O
40,155,1025,O
34,153,1047,O
42,132,1039,O
46,123,1046,O
33,121,1040,O
44,118,1030,O
30,105,1047,O
46,83,1046,O
34,59,1041,O
27,44,1029,O
43,54,1010,O
34,59,989,O
34,80,1007,O
45,85,1011,O
32,73,1011,O
37,58,987,O
37,52,984,O
34,50,1003,O
35,51,994,O
35,58,992,O
33,49,1009,O
40,54,1036,O
41,53,1019,O
57,43,1011,O
56,50,1022,O
53,48,992,O
53,38,1004,O
55,35,995,O
60,32,1025,O
77,16,1033,O
83,0,1058,O
78,-18,1075,O
92,-37,1082,O
97,-67,1068,O
88,-79,1082,O
81,-104,1040,O
73,-170,971,O
66,-197,943,O
54,-209,922,O
55,-232,908,O
34,-238,910,O
38,-237,933,O
41,-234,934,O
32,-218,920,O
33,-214,924,O
26,-179,880,O
28,-150,863,O
33,-109,837,O
47,-70,809,O
37,-31,800,O
52,-10,783,O
44,10,801,O
56,56,794,O
67,60,808,O
71,84,840,O
87,119,834,O
90,134,824,O
99,133,798,O
109,126,758,O
128,143,740,O
133,176,705,O
123,223,731,O
162,246,743,O
162,256,752,O
166,269,752,O
182,292,757,O
190,288,778,O
218,279,777,O
242,263,753,O
261,238,767,O
253,224,802,O
246,267,845,O
268,295,870,O
289,329,863,O
320,345,873,O
342,384,871,O
379,364,909,O
403,370,940,O
408,350,922,O
424,336,915,O
421,317,902,O
394,310,930,O
373,328,920,O
365,368,954,O
374,401,980,O
387,417,1046,O
417,434,1039,O
459,448,1009,O
477,436,979,O
495,415,1015,O
487,386,1052,O
462,382,1102,O
492,383,1091,O
457,393,1058,O
439,437,995,O
461,477,936,O
486,513,888,O
519,546,888,O
529,528,921,O
530,505,923,O
527,449,934,O
546,390,933,O
548,349,990,O
570,283,1054,O
585,249,1090,O
604,207,1134,O
601,164,1174,O
605,133,1195,O
580,165,1182,O
573,166,1174,O
592,188,1106,O
618,181,1059,O
621,184,1019,O
627,162,1049,O
622,132,1068,O
632,93,1094,O
635,51,1140,O
611,37,1187,O
623,22,1223,O
625,31,1208,O
618,49,1208,O
617,48,1191,O
638,63,1167,O
637,69,1122,O
620,91,1083,O
606,82,1069,O
573,65,1112,O
576,44,1097,O
556,44,1101,O
553,55,1107,O
558,77,1098,O
561,92,1083,O
547,92,1057,O
542,82,1049,O
545,51,1030,O
521,36,1023,O
497,21,1014,O
485,16,1018,O
462,-5,1022,O
428,-30,1015,O
413,-37,1010,O
404,-52,992,O
405,-81,1004,O
377,-83,993,O
354,-99,998,O
336,-107,996,O
337,-100,997,O
347,-112,1011,O
338,-118,1023,O
340,-142,1020,O
339,-141,1037,O
326,-162,1039,O
346,-146,1079,O
335,-120,1066,O
327,-109,1081,O
323,-122,1068,O
300,-116,1038,O
268,-158,985,O
246,-195,983,O
240,-239,979,O
233,-245,964,O
251,-238,956,O
256,-228,963,O
259,-197,934,O
277,-159,943,O
270,-127,965,O
292,-122,969,O
291,-173,1027,O
272,-201,971,O
251,-230,977,O
256,-229,927,O
224,-206,926,O
203,-174,914,O
216,-134,857,O
201,-109,845,O
195,-125,849,O
183,-132,849,O
158,-162,861,O
172,-214,885,O
160,-272,913,O
182,-259,869,O
199,-181,836,O
223,-83,811,O
234,-16,772,O
225,40,753,O
211,65,753,O
191,48,780,O
171,35,822,O
148,2,825,O
105,-9,849,O
80,-3,823,O
47,34,767,O
35,107,736,O
29,184,728,O
30,239,725,O
31,292,735,O
11,300,763,O
4,304,781,O
-16,337,790,O
-17,348,819,O
-12,382,811,O
-11,422,840,O
0,489,804,O
5,542,796,O
22,589,806,O
39,602,788,O
62,591,818,O
69,555,895,O
78,525,884,O
87,478,917,O
102,422,990,O
104,383,1035,O
118,340,1029,O
112,334,1039,O
115,330,1026,O
109,332,1030,O
88,339,1024,O
85,316,1000,O
69,288,994,O
55,280,998,O
56,247,989,O
56,194,1004,O
55,161,1035,O
52,126,1045,O
43,120,1059,O
45,120,1076,O
59,115,1047,O
53,118,1069,O
58,114,1069,O
55,133,1059,O
85,-165,915,O
67,-120,909,O
55,-88,873,O
44,-70,840,O
37,-63,844,O
38,-54,864,O
41,-47,857,O
33,-42,824,O
26,-20,842,O
40,8,832,O
44,47,805,O
74,90,784,O
90,129,759,O
84,178,708,O
93,193,677,O
91,185,664,O
115,218,685,O
135,253,715,O
147,274,732,O
180,294,746,O
201,326,765,O
229,322,746,O
240,323,725,O
244,312,723,O
245,335,735,O
269,355,758,O
262,361,843,O
286,393,880,O
304,393,886,O
293,393,951,O
320,385,958,O
315,385,983,O
309,386,1014,O
324,379,1015,O
321,378,1022,O
308,401,1020,O
309,415,1005,O
311,415,991,O
303,428,985,O
307,432,971,O
301,425,989,O
305,423,1014,O
336,407,1038,O
362,378,1041,O
355,369,1020,O
361,361,1025,O
371,372,1020,O
375,414,1028,O
421,402,1032,O
458,364,1077,O
469,319,1112,O
460,295,1101,O
453,277,1097,O
415,233,1079,O
408,241,1021,O
414,286,999,O
453,318,989,O
504,298,985,O
529,246,1032,O
524,185,1057,O
506,124,1125,O
504,86,1165,O
519,69,1165,O
499,82,1133,O
531,99,1105,O
552,95,1127,O
549,78,1133,O
536,69,1149,O
517,57,1133,O
504,55,1125,O
475,78,1101,O
472,87,1043,O
491,85,1016,O
499,57,991,O
474,30,1037,O
491,25,1058,O
475,27,1076,O
467,68,1067,O
463,92,1032,O
461,101,997,O
477,106,995,O
485,87,1026,O
474,61,1038,O
451,50,1007,O
440,56,999,O
431,46,1025,O
440,66,1026,O
445,64,1026,O
437,38,1056,O
442,30,1047,O
444,11,1068,O
466,-10,1085,O
447,-11,1114,O
457,-10,1126,O
469,-8,1143,O
447,-7,1128,O
453,-2,1108,O
452,-6,1116,O
443,-4,1073,O
446,10,1063,O
429,7,1073,O
434,35,1049,O
432,55,1038,O
420,57,1053,O
415,27,1050,O
405,22,1064,O
381,9,1050,O
388,-29,1062,O
365,-38,1053,O
351,-36,1062,O
349,-33,1073,O
334,-25,1069,O
328,-9,1002,O
311,6,981,O
306,23,1000,O
309,-6,982,O
306,-22,1008,O
280,-54,1038,O
264,-87,1082,O
276,-126,1111,O
277,-116,1111,O
269,-100,1104,O
267,-97,1057,O
262,-76,1027,O
252,-33,1011,O
239,11,969,O
240,17,936,O
242,-14,912,O
216,-179,1005,O
182,-279,1069,O
198,-308,1083,O
216,-299,1070,O
221,-234,1043,O
254,-150,969,O
255,-89,918,O
251,-83,860,O
242,-92,789,O
212,-102,744,O
178,-159,751,O
125,-229,790,O
93,-289,825,O
73,-309,881,O
80,-297,905,O
111,-251,887,O
129,-191,861,O
144,-155,819,O
133,-138,793,O
109,-133,799,O
109,-130,796,O
107,-167,807,O
106,-162,843,O
118,-135,865,O
131,-70,870,O
162,-30,867,O
178,6,874,O
169,29,858,O
189,41,845,O
182,38,822,O
167,38,826,O
151,39,811,O
139,62,840,O
136,92,870,O
117,123,893,O
109,177,900,O
89,219,903,O
70,280,885,O
57,332,857,O
29,370,819,O
-3,411,794,O
0,452,793,O
-10,478,796,O
9,475,801,O
15,483,823,O
22,486,877,O
32,479,908,O
57,469,954,O
70,434,989,O
59,402,1018,O
63,372,1014,O
65,341,1005,O
60,315,1035,O
64,295,1026,O
42,276,1033,O
30,255,1030,O
29,232,1025,O
19,231,1011,O
13,214,1007,O
16,194,1019,O
8,183,1016,O
12,175,1014,O
28,167,1008,O
23,161,1016,O
14,144,1020,O
8,114,1036,O
9,124,1033,O
24,139,1021,O
33,143,1003,O
32,138,998,O
36,136,990,O
19,137,989,O
28,133,1021,O
22,101,1044,O
5,90,1034,O
14,98,1004,O
20,94,1023,O
25,119,1014,O
16,121,1000,O
11,128,985,O
7,137,979,O
12,126,972,O
25,123,989,O
17,120,990,O
33,102,1004,O
33,113,1008,O
34,142,1007,O
45,145,994,O
51,150,1005,O
50,129,1001,O
56,119,991,O
48,119,986,O
58,129,1039,O
48,127,1038,O
56,121,1028,O
50,114,1014,O
47,124,994,O
47,129,1001,O
49,110,988,O
47,124,960,O
45,112,993,O
53,109,1017,O
50,98,1030,O
47,95,1010,O
48,88,996,O
48,89,1016,O
54,95,1007,O
51,93,1009,O
52,76,1015,O
55,47,1044,O
13,-116,914,O
21,-113,892,O
42,-95,867,O
38,-102,835,O
55,-97,827,O
49,-99,810,O
46,-86,790,O
41,-74,792,O
54,-51,788,O
50,-44,775,O
45,-43,777,O
77,-65,802,O
64,-61,829,O
81,-41,832,O
89,-29,844,O
97,-25,828,O
93,-7,842,O
108,7,839,O
107,24,839,O
119,56,852,O
110,78,833,O
117,99,841,O
140,128,793,O
164,179,781,O
165,213,801,O
183,240,765,O
202,275,750,O
205,311,762,O
230,312,790,O
245,308,801,O
231,304,809,O
222,302,820,O
234,328,825,O
239,357,822,O
264,380,809,O
287,400,814,O
295,405,844,O
297,392,855,O
295,393,865,O
293,392,877,O
286,408,876,O
304,420,870,O
305,431,850,O
329,453,859,O
334,463,874,O
346,464,895,O
353,448,940,O
351,436,963,O
340,434,1019,O
396,423,1039,O
431,390,1066,O
450,373,1059,O
461,345,1099,O
488,324,1099,O
520,308,1082,O
476,308,1112,O
466,325,1148,O
457,360,1162,O
459,380,1177,O
472,385,1170,O
478,379,1135,O
495,318,1136,O
485,256,1143,O
471,241,1142,O
461,210,1127,O
439,243,1132,O
451,277,1089,O
453,303,1062,O
466,300,1087,O
494,219,1147,O
450,152,1188,O
455,92,1188,O
437,55,1182,O
427,65,1132,O
426,102,1110,O
444,169,1033,O
454,188,986,O
455,160,1020,O
465,94,1054,O
451,58,1083,O
433,17,1162,O
422,3,1156,O
419,41,1137,O
446,126,1103,O
457,162,1082,O
460,171,1056,O
459,150,1067,O
457,92,1085,O
433,62,1120,O
442,34,1166,O
447,37,1207,O
480,56,1175,O
460,69,1177,O
451,51,1166,O
446,30,1163,O
421,68,1118,O
403,48,1120,O
397,10,1134,O
358,-19,1105,O
358,-29,1092,O
327,-43,1099,O
307,-39,1115,O
288,-35,1096,O
269,-13,1124,O
244,11,1093,O
249,23,1119,O
238,27,1145,O
235,30,1132,O
250,39,1149,O
266,24,1164,O
277,4,1200,O
301,9,1219,O
328,45,1219,O
366,77,1192,O
368,90,1129,O
342,162,1079,O
305,46,1064,O
297,-7,1011,O
263,-84,1013,O
230,-120,1052,O
240,-113,1045,O
256,-85,1056,O
233,-14,1036,O
243,11,978,O
207,-3,983,O
201,-37,915,O
166,-77,867,O
120,-94,892,O
111,-127,911,O
115,-158,928,O
103,-177,988,O
104,-153,962,O
120,-123,900,O
115,-90,883,O
105,-53,836,O
98,-56,790,O
61,-81,799,O
73,-122,809,O
66,-153,847,O
74,-206,902,O
81,-182,940,O
89,-129,932,O
99,-49,893,O
110,26,839,O
105,14,811,O
78,32,803,O
66,25,811,O
62,-25,865,O
46,-87,921,O
44,-105,936,O
48,-49,898,O
56,28,866,O
53,86,850,O
47,136,838,O
49,153,827,O
22,123,823,O
-2,65,843,O
-19,36,904,O
-17,7,966,O
-23,33,965,O
-18,73,909,O
-38,110,908,O
-45,136,896,O
-63,159,851,O
-90,143,876,O
-107,120,885,O
-112,82,888,O
-105,36,943,O
-120,36,928,O
-122,82,907,O
-108,140,856,O
-108,170,862,O
-111,178,870,O
-102,178,883,O
-123,143,909,O
-101,123,958,O
-96,94,938,O
-94,94,974,O
-87,97,958,O
-101,147,953,O
-96,189,956,O
-87,227,936,O
-80,242,926,O
-82,232,934,O
-78,202,928,O
-93,189,915,O
-81,167,955,O
-75,146,942,O
-73,167,927,O
-49,189,916,O
-49,199,935,O
-44,189,958,O
-38,198,956,O
-44,218,961,O
-46,221,947,O
-57,211,977,O
-46,193,962,O
-79,181,981,O
-67,210,984,O
-67,207,1000,O
-76,228,1009,O
-78,249,1009,O
-65,281,1017,O
-53,286,1046,O
-42,270,1061,O
-35,242,1081,O
-40,229,1080,O
-39,216,1104,O
-25,216,1109,O
-14,228,1107,O
-14,260,1087,O
1,273,1064,O
5,286,1037,O
7,305,1030,O
-2,295,1008,O
10,275,992,O
-1,247,1008,O
1,202,1033,O
16,182,1038,O
21,173,1039,O
6,147,1052,O
-11,136,1034,O
-14,132,1001,O
-32,116,978,O
-37,108,977,O
-31,48,1028,O
-34,41,1040,O
-40,23,1054,O
-43,0,1042,O
-54,-29,1075,O
-58,-64,1065,O
-54,-93,1092,O
-69,-121,1072,O
-63,-138,1046,O
-57,-145,1001,O
-60,-147,960,O
-82,-159,948,O
-51,-147,907,O
-70,-131,873,O
-64,-131,857,O
-72,-124,867,O
-71,-103,868,O
-71,-89,863,O
-56,-73,867,O
-56,-68,846,O
-45,-53,842,O
-40,-38,812,O
-52,-32,823,O
-37,-18,833,O
-52,16,830,O
-29,50,838,O
-16,86,849,O
-5,120,844,O
-8,112,824,O
9,102,790,O
2,83,796,O
-3,85,790,O
10,106,822,O
33,132,826,O
49,143,824,O
56,159,830,O
86,169,803,O
87,186,803,O
116,176,817,O
134,183,803,O
136,174,839,O
159,154,821,O
175,154,812,O
169,172,842,O
183,217,845,O
201,269,843,O
195,311,834,O
191,335,810,O
177,373,802,O
190,400,864,O
213,415,896,O
226,404,917,O
246,408,916,O
269,410,947,O
277,405,970,O
287,408,985,O
274,416,994,O
263,411,985,O
252,435,969,O
247,443,962,O
239,451,952,O
239,456,953,O
239,470,961,O
238,494,948,O
256,489,918,O
244,492,927,O
276,493,951,O
302,488,975,O
321,480,1015,O
338,456,1042,O
371,439,1068,O
391,398,1066,O
406,361,1054,O
411,309,1064,O
408,311,1104,O
427,338,1127,O
442,321,1142,O
447,312,1144,O
463,268,1173,O
435,230,1144,O
422,184,1174,O
416,180,1183,O
410,184,1133,O
420,205,1100,O
427,217,1070,O
406,230,1039,O
403,264,1036,O
397,297,1042,O
400,301,1015,O
407,294,1031,O
436,272,1036,O
458,237,1069,O
467,191,1125,O
469,136,1178,O
464,121,1200,O
454,153,1160,O
446,189,1135,O
454,237,1089,O
463,272,1067,O
481,269,1056,O
485,256,1074,O
469,231,1062,O
459,195,1087,O
448,180,1073,O
437,181,1048,O
442,202,1010,O
465,212,1002,O
451,211,1029,O
451,217,1039,O
460,198,1046,O
447,185,1052,O
453,207,1035,O
448,216,1028,O
439,213,1034,O
439,217,1020,O
443,240,1037,O
442,223,1050,O
444,210,1022,O
426,219,1031,O
415,237,1022,O
400,238,989,O
374,269,977,O
393,281,980,O
391,267,993,O
383,245,1008,O
370,204,1004,O
357,192,1008,O
360,190,1021,O
359,186,1032,O
354,181,1053,O
354,152,1066,O
348,125,1065,O
334,76,1071,O
335,75,1049,O
333,88,1053,O
336,88,1069,O
321,103,1069,O
317,117,1091,O
321,134,1090,O
309,97,1075,O
314,67,1077,O
287,70,1046,O
270,59,1058,O
282,48,1030,O
265,57,1031,O
261,62,1032,O
245,62,1022,O
225,81,1060,O
236,80,1024,O
234,76,1000,O
218,48,1031,O
210,0,1006,O
199,-32,1007,O
168,-37,1004,O
173,-4,975,O
160,19,939,O
150,54,936,O
146,65,919,O
122,40,878,O
101,17,912,O
73,-45,950,O
65,-62,957,O
35,-64,949,O
37,-35,945,O
51,-5,906,O
44,4,871,O
38,-6,873,O
34,-11,844,O
13,-18,844,O
1,-37,869,O
9,-51,901,O
-9,-91,952,O
-15,-90,942,O
-32,-86,892,O
-23,-57,841,O
-40,-29,807,O
-38,2,782,O
-33,55,718,O
-9,93,691,O
-7,35,733,O
-8,-76,884,O
-10,-182,967,O
-2,-198,998,O
9,-125,1011,O
56,-11,989,O
95,101,902,O
78,164,901,O
80,169,859,O
42,157,864,O
18,127,883,O
3,70,918,O
-18,-38,981,O
-27,-97,1023,O
-22,-72,1019,O
4,11,993,O
14,85,996,O
41,151,984,O
35,169,980,O
43,172,994,O
27,137,972,O
15,102,960,O
7,27,985,O
8,-2,984,O
9,-14,970,O
15,63,950,O
34,123,936,O
31,177,908,O
27,219,918,O
18,212,937,O
2,204,921,O
-19,210,955,O
-47,203,950,O
-59,235,906,O
-56,283,876,O
-78,329,852,O
-68,368,852,O
-56,410,841,O
-55,413,880,O
-56,373,896,O
-63,372,894,O
-68,341,920,O
-63,333,959,O
-52,330,948,O
-44,335,939,O
-40,354,924,O
-19,360,913,O
-7,361,922,O
-7,353,945,O
-9,329,943,O
-13,293,962,O
-6,237,1025,O
5,170,1035,O
-3,151,1068,O
1,135,1051,O
-7,139,1072,O
-3,169,1029,O
9,191,1028,O
14,203,1045,O
17,164,1083,O
2,128,1070,O
-7,116,1057,O
-18,113,1037,O
-30,102,1023,O
-33,120,1015,O
-20,141,996,O
-14,140,987,O
-16,140,993,O
-14,137,979,O
-20,128,1001,O
-31,131,988,O
-19,-129,944,O
-28,-126,906,O
-27,-104,913,O
-24,-86,883,O
-23,-78,874,O
-38,-75,869,O
-38,-109,851,O
-53,-115,842,O
