X,Y,Z,Label
16,-145,993,0
14,-159,1000,0
21,-153,998,0
32,-147,999,0
44,-137,994,0
59,-130,1008,0
59,-117,1002,0
65,-120,986,0
61,-118,961,0
79,-126,929,0
58,-118,925,0
67,-124,940,0
66,-110,914,0
69,-90,902,0
68,-100,916,0
75,-78,926,0
81,-70,932,0
74,-76,932,0
79,-73,918,0
75,-84,919,0
86,-93,913,0
91,-83,926,0
96,-81,946,0
108,-64,938,0
99,-65,930,0
106,-56,926,0
101,-54,926,0
105,-54,927,0
102,-60,947,0
109,-53,952,0
103,-49,938,0
104,-47,942,0
98,-28,923,0
98,5,928,0
117,27,967,0
117,26,968,0
126,11,952,0
127,1,946,0
133,10,921,0
138,39,931,0
151,76,958,0
165,84,965,0
176,97,937,0
187,91,955,0
187,69,953,0
159,72,951,0
159,81,949,0
156,84,922,0
151,91,940,0
164,109,942,0
164,94,939,0
153,99,931,0
159,92,945,0
179,79,944,0
189,70,925,0
195,56,907,0
192,61,896,0
193,56,891,0
193,62,837,0
167,64,804,0
177,64,781,0
157,83,795,0
158,108,802,0
178,133,814,0
200,128,826,0
201,145,787,0
227,153,788,0
238,165,784,0
251,193,833,0
270,228,832,0
289,251,834,0
298,288,818,0
298,331,825,0
337,331,834,0
358,339,855,0
406,356,876,0
426,378,906,0
440,419,954,0
466,453,942,0
478,485,937,0
483,495,863,0
486,498,826,0
494,497,810,0
516,480,861,0
523,424,933,0
533,385,1011,0
533,350,1072,0
527,317,1098,0
502,305,1056,0
510,303,1023,0
507,313,949,0
524,335,919,0
545,341,954,0
573,324,995,0
592,296,1058,0
601,268,1137,0
602,224,1122,0
580,229,1104,0
582,196,1078,0
575,193,1015,0
589,222,966,0
630,229,948,0
632,220,966,0
632,202,1021,0
647,168,1057,0
630,131,1085,0
599,123,1079,0
600,99,1049,0
605,116,1015,0
598,140,983,0
608,151,974,0
601,155,947,0
618,167,970,0
621,160,1031,0
635,146,1044,0
650,125,1088,0
638,115,1119,0
653,109,1130,0
669,110,1126,0
678,127,1096,0
680,152,1087,0
685,168,1068,0
691,180,1031,0
664,173,1018,0
658,145,995,0
641,146,1015,0
638,144,968,0
627,115,974,0
603,93,956,0
592,49,966,0
566,35,1020,0
548,17,1017,0
541,18,1009,0
523,7,1035,0
509,-12,1053,0
519,-25,1024,0
485,-48,1027,0
480,-65,1032,0
496,-75,994,0
471,-73,1025,0
480,-76,1045,0
472,-72,1047,0
471,-65,1039,0
469,-57,1006,0
460,-69,985,0
459,-67,981,0
474,-62,1007,0
482,-88,1051,0
466,-100,1051,0
473,-95,1064,0
475,-100,1069,0
453,-70,1074,0
450,-31,1082,0
451,-14,1074,0
435,-23,1028,0
401,-84,1041,0
372,-96,1018,0
360,-108,1018,0
333,-111,1027,0
329,-103,1009,0
307,-77,942,0
287,-61,910,0
279,-57,911,0
271,-47,913,0
263,-37,874,0
263,-40,866,0
237,-45,844,0
227,-67,854,0
218,-69,825,0
216,-65,798,0
199,-39,784,0
194,-26,759,0
185,-8,717,0
175,-34,743,0
156,-54,762,0
164,-67,741,0
153,-83,774,0
148,-92,817,0
141,-70,793,0
139,-56,779,0
150,-43,787,0
140,-28,785,0
128,-6,789,0
132,4,808,0
137,-13,861,0
129,-27,884,0
128,-62,929,0
120,-94,953,0
127,-86,949,0
134,-62,934,0
145,-14,924,0
167,17,920,0
152,22,916,0
134,26,905,0
106,14,887,0
104,17,895,0
115,6,915,0
106,36,913,0
108,76,909,0
96,123,932,0
102,157,913,0
86,190,861,0
70,213,852,0
71,248,838,0
74,252,870,0
63,258,880,0
69,277,881,0
60,300,912,0
61,333,918,0
77,359,906,0
98,378,927,0
108,374,931,0
107,361,939,0
100,353,960,0
93,355,966,0
79,362,998,0
66,339,1026,0
54,348,1007,0
52,348,974,0
60,350,963,0
57,341,975,0
62,331,977,0
57,298,1000,0
53,291,1007,0
57,265,1023,0
68,246,1039,0
75,217,1047,0
81,199,1056,0
67,202,1039,0
70,186,1032,0
78,183,1017,0
74,162,1023,0
57,147,1020,0
53,123,1004,0
40,108,990,0
44,113,986,0
42,104,994,0
43,106,1008,0
50,94,994,0
40,85,986,0
39,84,981,0
41,84,979,0
44,89,978,0
56,57,991,0
59,37,1013,0
62,47,1009,0
58,55,1003,0
64,59,1009,0
65,59,1017,0
33,-150,1051,0
34,-165,1021,0
18,-169,1001,0
23,-169,994,0
35,-190,968,0
18,-173,953,0
17,-175,931,0
33,-194,934,0
42,-194,917,0
55,-197,914,0
46,-175,898,0
64,-169,864,0
58,-149,808,0
58,-106,796,0
49,-79,776,0
62,-38,801,0
70,0,834,0
85,26,835,0
96,27,812,0
95,26,828,0
122,28,793,0
128,39,798,0
136,63,795,0
139,83,778,0
150,102,802,0
155,106,810,0
160,117,816,0
173,131,801,0
186,137,801,0
201,127,789,0
209,139,806,0
211,145,795,0
215,161,792,0
200,189,787,0
210,227,807,0
220,260,787,0
230,269,790,0
241,295,781,0
247,317,759,0
247,343,751,0
242,384,727,0
254,422,749,0
275,439,739,0
307,449,738,0
341,468,759,0
383,465,818,0
401,427,883,0
396,391,943,0
391,381,971,0
390,381,989,0
405,394,990,0
398,441,959,0
423,483,922,0
452,493,918,0
476,499,925,0
502,479,937,0
492,465,932,0
485,454,973,0
478,470,1006,0
488,475,1005,0
492,484,1008,0
518,476,1021,0
534,461,1043,0
539,444,1084,0
550,413,1108,0
585,371,1074,0
547,368,1060,0
534,360,1063,0
535,353,1045,0
542,346,1092,0
546,327,1108,0
555,309,1113,0
547,307,1073,0
553,306,1063,0
569,277,1070,0
548,252,1079,0
551,205,1046,0
541,203,976,0
499,206,933,0
501,210,912,0
500,187,892,0
479,190,855,0
484,197,845,0
510,187,859,0
508,168,932,0
514,141,971,0
512,131,975,0
525,110,945,0
510,98,958,0
502,82,980,0
519,81,1012,0
529,81,1005,0
534,76,1026,0
522,82,1027,0
514,88,1014,0
524,101,1028,0
518,102,1032,0
522,95,1020,0
524,83,1047,0
500,56,1063,0
504,51,1022,0
504,81,985,0
501,98,971,0
520,98,977,0
524,84,1010,0
527,83,1028,0
537,66,1041,0
552,40,1038,0
537,44,1074,0
547,25,1094,0
557,22,1078,0
544,35,1066,0
545,52,1066,0
539,53,1084,0
516,50,1090,0
531,23,1080,0
521,-10,1073,0
506,-5,1083,0
491,-4,1102,0
483,-27,1088,0
467,-27,1088,0
451,-16,1092,0
458,-26,1095,0
442,-40,1146,0
435,-25,1116,0
444,-19,1061,0
428,-24,1025,0
427,-24,1003,0
400,-41,1001,0
387,-39,1020,0
389,-44,1035,0
387,-48,1018,0
365,-49,1016,0
350,-43,1034,0
345,-53,1034,0
322,-60,1048,0
309,-68,1050,0
289,-85,1033,0
278,-135,1054,0
269,-150,1050,0
262,-143,1036,0
265,-116,1036,0
260,-110,1042,0
248,-81,1021,0
240,-72,989,0
230,-97,984,0
212,-123,968,0
204,-170,952,0
219,-170,931,0
223,-132,913,0
248,-80,885,0
244,-12,844,0
245,33,822,0
240,61,787,0
220,16,809,0
192,-46,827,0
163,-98,852,0
151,-153,874,0
127,-149,874,0
142,-98,839,0
144,-53,838,0
137,-14,800,0
137,18,778,0
122,20,785,0
114,-10,778,0
102,-77,811,0
87,-124,827,0
105,-145,843,0
93,-134,826,0
124,-70,791,0
131,-8,761,0
131,56,767,0
132,130,768,0
103,171,772,0
85,204,799,0
73,202,864,0
50,211,869,0
30,247,855,0
29,294,851,0
44,346,834,0
37,379,845,0
46,414,875,0
38,436,860,0
41,460,827,0
36,451,836,0
32,430,859,0
43,422,897,0
55,416,930,0
65,395,952,0
70,368,960,0
77,336,962,0
68,307,981,0
52,280,1004,0
50,257,1046,0
64,239,1071,0
56,217,1051,0
37,198,1049,0
37,180,1037,0
40,155,1025,0
34,153,1047,0
42,132,1039,0
46,123,1046,0
33,121,1040,0
44,118,1030,0
30,105,1047,0
46,83,1046,0
34,59,1041,0
27,44,1029,0
43,54,1010,0
34,59,989,0
34,80,1007,0
45,85,1011,0
32,73,1011,0
37,58,987,0
37,52,984,0
34,50,1003,0
35,51,994,0
35,58,992,0
33,49,1009,0
40,54,1036,0
41,53,1019,0
57,43,1011,0
56,50,1022,0
53,48,992,0
53,38,1004,0
55,35,995,0
60,32,1025,0
77,16,1033,0
83,0,1058,0
78,-18,1075,0
92,-37,1082,0
97,-67,1068,0
88,-79,1082,0
81,-104,1040,0
73,-170,971,0
66,-197,943,0
54,-209,922,0
55,-232,908,0
34,-238,910,0
38,-237,933,0
41,-234,934,0
32,-218,920,0
33,-214,924,0
26,-179,880,0
28,-150,863,0
33,-109,837,0
47,-70,809,0
37,-31,800,0
52,-10,783,0
44,10,801,0
56,56,794,0
67,60,808,0
71,84,840,0
87,119,834,0
90,134,824,0
99,133,798,0
109,126,758,0
128,143,740,0
133,176,705,0
123,223,731,0
162,246,743,0
162,256,752,0
166,269,752,0
182,292,757,0
190,288,778,0
218,279,777,0
242,263,753,0
261,238,767,0
253,224,802,0
246,267,845,0
268,295,870,0
289,329,863,0
320,345,873,0
342,384,871,0
379,364,909,0
403,370,940,0
408,350,922,0
424,336,915,0
421,317,902,0
394,310,930,0
373,328,920,0
365,368,954,0
374,401,980,0
387,417,1046,0
417,434,1039,0
459,448,1009,0
477,436,979,0
495,415,1015,0
487,386,1052,0
462,382,1102,0
492,383,1091,0
457,393,1058,0
439,437,995,0
461,477,936,0
486,513,888,0
519,546,888,0
529,528,921,0
530,505,923,0
527,449,934,0
546,390,933,0
548,349,990,0
570,283,1054,0
585,249,1090,0
604,207,1134,0
601,164,1174,0
605,133,1195,0
580,165,1182,0
573,166,1174,0
592,188,1106,0
618,181,1059,0
621,184,1019,0
627,162,1049,0
622,132,1068,0
632,93,1094,0
635,51,1140,0
611,37,1187,0
623,22,1223,0
625,31,1208,0
618,49,1208,0
617,48,1191,0
638,63,1167,0
637,69,1122,0
620,91,1083,0
606,82,1069,0
573,65,1112,0
576,44,1097,0
556,44,1101,0
553,55,1107,0
558,77,1098,0
561,92,1083,0
547,92,1057,0
542,82,1049,0
545,51,1030,0
521,36,1023,0
497,21,1014,0
485,16,1018,0
462,-5,1022,0
428,-30,1015,0
413,-37,1010,0
404,-52,992,0
405,-81,1004,0
377,-83,993,0
354,-99,998,0
336,-107,996,0
337,-100,997,0
347,-112,1011,0
338,-118,1023,0
340,-142,1020,0
339,-141,1037,0
326,-162,1039,0
346,-146,1079,0
335,-120,1066,0
327,-109,1081,0
323,-122,1068,0
300,-116,1038,0
268,-158,985,0
246,-195,983,0
240,-239,979,0
233,-245,964,0
251,-238,956,0
256,-228,963,0
259,-197,934,0
277,-159,943,0
270,-127,965,0
292,-122,969,0
291,-173,1027,0
272,-201,971,0
251,-230,977,0
256,-229,927,0
224,-206,926,0
203,-174,914,0
216,-134,857,0
201,-109,845,0
195,-125,849,0
183,-132,849,0
158,-162,861,0
172,-214,885,0
160,-272,913,0
182,-259,869,0
199,-181,836,0
223,-83,811,0
234,-16,772,0
225,40,753,0
211,65,753,0
191,48,780,0
171,35,822,0
148,2,825,0
105,-9,849,0
80,-3,823,0
47,34,767,0
35,107,736,0
29,184,728,0
30,239,725,0
31,292,735,0
11,300,763,0
4,304,781,0
-16,337,790,0
-17,348,819,0
-12,382,811,0
-11,422,840,0
0,489,804,0
5,542,796,0
22,589,806,0
39,602,788,0
62,591,818,0
69,555,895,0
78,525,884,0
87,478,917,0
102,422,990,0
104,383,1035,0
118,340,1029,0
112,334,1039,0
115,330,1026,0
109,332,1030,0
88,339,1024,0
85,316,1000,0
69,288,994,0
55,280,998,0
56,247,989,0
56,194,1004,0
55,161,1035,0
52,126,1045,0
43,120,1059,0
45,120,1076,0
59,115,1047,0
53,118,1069,0
58,114,1069,0
55,133,1059,0
85,-165,915,0
67,-120,909,0
55,-88,873,0
44,-70,840,0
37,-63,844,0
38,-54,864,0
41,-47,857,0
33,-42,824,0
26,-20,842,0
40,8,832,0
44,47,805,0
74,90,784,0
90,129,759,0
84,178,708,0
93,193,677,0
91,185,664,0
115,218,685,0
135,253,715,0
147,274,732,0
180,294,746,0
201,326,765,0
229,322,746,0
240,323,725,0
244,312,723,0
245,335,735,0
269,355,758,0
262,361,843,0
286,393,880,0
304,393,886,0
293,393,951,0
320,385,958,0
315,385,983,0
309,386,1014,0
324,379,1015,0
321,378,1022,0
308,401,1020,0
309,415,1005,0
311,415,991,0
303,428,985,0
307,432,971,0
301,425,989,0
305,423,1014,0
336,407,1038,0
362,378,1041,0
355,369,1020,0
361,361,1025,0
371,372,1020,0
375,414,1028,0
421,402,1032,0
458,364,1077,0
469,319,1112,0
460,295,1101,0
453,277,1097,0
415,233,1079,0
408,241,1021,0
414,286,999,0
453,318,989,0
504,298,985,0
529,246,1032,0
524,185,1057,0
506,124,1125,0
504,86,1165,0
519,69,1165,0
499,82,1133,0
531,99,1105,0
552,95,1127,0
549,78,1133,0
536,69,1149,0
517,57,1133,0
504,55,1125,0
475,78,1101,0
472,87,1043,0
491,85,1016,0
499,57,991,0
474,30,1037,0
491,25,1058,0
475,27,1076,0
467,68,1067,0
463,92,1032,0
461,101,997,0
477,106,995,0
485,87,1026,0
474,61,1038,0
451,50,1007,0
440,56,999,0
431,46,1025,0
440,66,1026,0
445,64,1026,0
437,38,1056,0
442,30,1047,0
444,11,1068,0
466,-10,1085,0
447,-11,1114,0
457,-10,1126,0
469,-8,1143,0
447,-7,1128,0
453,-2,1108,0
452,-6,1116,0
443,-4,1073,0
446,10,1063,0
429,7,1073,0
434,35,1049,0
432,55,1038,0
420,57,1053,0
415,27,1050,0
405,22,1064,0
381,9,1050,0
388,-29,1062,0
365,-38,1053,0
351,-36,1062,0
349,-33,1073,0
334,-25,1069,0
328,-9,1002,0
311,6,981,0
306,23,1000,0
309,-6,982,0
306,-22,1008,0
280,-54,1038,0
264,-87,1082,0
276,-126,1111,0
277,-116,1111,0
269,-100,1104,0
267,-97,1057,0
262,-76,1027,0
252,-33,1011,0
239,11,969,0
240,17,936,0
242,-14,912,0
216,-179,1005,0
182,-279,1069,0
198,-308,1083,0
216,-299,1070,0
221,-234,1043,0
254,-150,969,0
255,-89,918,0
251,-83,860,0
242,-92,789,0
212,-102,744,0
178,-159,751,0
125,-229,790,0
93,-289,825,0
73,-309,881,0
80,-297,905,0
111,-251,887,0
129,-191,861,0
144,-155,819,0
133,-138,793,0
109,-133,799,0
109,-130,796,0
107,-167,807,0
106,-162,843,0
118,-135,865,0
131,-70,870,0
162,-30,867,0
178,6,874,0
169,29,858,0
189,41,845,0
182,38,822,0
167,38,826,0
151,39,811,0
139,62,840,0
136,92,870,0
117,123,893,0
109,177,900,0
89,219,903,0
70,280,885,0
57,332,857,0
29,370,819,0
-3,411,794,0
0,452,793,0
-10,478,796,0
9,475,801,0
15,483,823,0
22,486,877,0
32,479,908,0
57,469,954,0
70,434,989,0
59,402,1018,0
63,372,1014,0
65,341,1005,0
60,315,1035,0
64,295,1026,0
42,276,1033,0
30,255,1030,0
29,232,1025,0
19,231,1011,0
13,214,1007,0
16,194,1019,0
8,183,1016,0
12,175,1014,0
28,167,1008,0
23,161,1016,0
14,144,1020,0
8,114,1036,0
9,124,1033,0
24,139,1021,0
33,143,1003,0
32,138,998,0
36,136,990,0
19,137,989,0
28,133,1021,0
22,101,1044,0
5,90,1034,0
14,98,1004,0
20,94,1023,0
25,119,1014,0
16,121,1000,0
11,128,985,0
7,137,979,0
12,126,972,0
25,123,989,0
17,120,990,0
33,102,1004,0
33,113,1008,0
34,142,1007,0
45,145,994,0
51,150,1005,0
50,129,1001,0
56,119,991,0
48,119,986,0
58,129,1039,0
48,127,1038,0
56,121,1028,0
50,114,1014,0
47,124,994,0
47,129,1001,0
49,110,988,0
47,124,960,0
45,112,993,0
53,109,1017,0
50,98,1030,0
47,95,1010,0
48,88,996,0
48,89,1016,0
54,95,1007,0
51,93,1009,0
52,76,1015,0
55,47,1044,0
13,-116,914,0
21,-113,892,0
42,-95,867,0
38,-102,835,0
55,-97,827,0
49,-99,810,0
46,-86,790,0
41,-74,792,0
54,-51,788,0
50,-44,775,0
45,-43,777,0
77,-65,802,0
64,-61,829,0
81,-41,832,0
89,-29,844,0
97,-25,828,0
93,-7,842,0
108,7,839,0
107,24,839,0
119,56,852,0
110,78,833,0
117,99,841,0
140,128,793,0
164,179,781,0
165,213,801,0
183,240,765,0
202,275,750,0
205,311,762,0
230,312,790,0
245,308,801,0
231,304,809,0
222,302,820,0
234,328,825,0
239,357,822,0
264,380,809,0
287,400,814,0
295,405,844,0
297,392,855,0
295,393,865,0
293,392,877,0
286,408,876,0
304,420,870,0
305,431,850,0
329,453,859,0
334,463,874,0
346,464,895,0
353,448,940,0
351,436,963,0
340,434,1019,0
396,423,1039,0
431,390,1066,0
450,373,1059,0
461,345,1099,0
488,324,1099,0
520,308,1082,0
476,308,1112,0
466,325,1148,0
457,360,1162,0
459,380,1177,0
472,385,1170,0
478,379,1135,0
495,318,1136,0
485,256,1143,0
471,241,1142,0
461,210,1127,0
439,243,1132,0
451,277,1089,0
453,303,1062,0
466,300,1087,0
494,219,1147,0
450,152,1188,0
455,92,1188,0
437,55,1182,0
427,65,1132,0
426,102,1110,0
444,169,1033,0
454,188,986,0
455,160,1020,0
465,94,1054,0
451,58,1083,0
433,17,1162,0
422,3,1156,0
419,41,1137,0
446,126,1103,0
457,162,1082,0
460,171,1056,0
459,150,1067,0
457,92,1085,0
433,62,1120,0
442,34,1166,0
447,37,1207,0
480,56,1175,0
460,69,1177,0
451,51,1166,0
446,30,1163,0
421,68,1118,0
403,48,1120,0
397,10,1134,0
358,-19,1105,0
358,-29,1092,0
327,-43,1099,0
307,-39,1115,0
288,-35,1096,0
269,-13,1124,0
244,11,1093,0
249,23,1119,0
238,27,1145,0
235,30,1132,0
250,39,1149,0
266,24,1164,0
277,4,1200,0
301,9,1219,0
328,45,1219,0
366,77,1192,0
368,90,1129,0
342,162,1079,0
305,46,1064,0
297,-7,1011,0
263,-84,1013,0
230,-120,1052,0
240,-113,1045,0
256,-85,1056,0
233,-14,1036,0
243,11,978,0
207,-3,983,0
201,-37,915,0
166,-77,867,0
120,-94,892,0
111,-127,911,0
115,-158,928,0
103,-177,988,0
104,-153,962,0
120,-123,900,0
115,-90,883,0
105,-53,836,0
98,-56,790,0
61,-81,799,0
73,-122,809,0
66,-153,847,0
74,-206,902,0
81,-182,940,0
89,-129,932,0
99,-49,893,0
110,26,839,0
105,14,811,0
78,32,803,0
66,25,811,0
62,-25,865,0
46,-87,921,0
44,-105,936,0
48,-49,898,0
56,28,866,0
53,86,850,0
47,136,838,0
49,153,827,0
22,123,823,0
-2,65,843,0
-19,36,904,0
-17,7,966,0
-23,33,965,0
-18,73,909,0
-38,110,908,0
-45,136,896,0
-63,159,851,0
-90,143,876,0
-107,120,885,0
-112,82,888,0
-105,36,943,0
-120,36,928,0
-122,82,907,0
-108,140,856,0
-108,170,862,0
-111,178,870,0
-102,178,883,0
-123,143,909,0
-101,123,958,0
-96,94,938,0
-94,94,974,0
-87,97,958,0
-101,147,953,0
-96,189,956,0
-87,227,936,0
-80,242,926,0
-82,232,934,0
-78,202,928,0
-93,189,915,0
-81,167,955,0
-75,146,942,0
-73,167,927,0
-49,189,916,0
-49,199,935,0
-44,189,958,0
-38,198,956,0
-44,218,961,0
-46,221,947,0
-57,211,977,0
-46,193,962,0
-79,181,981,0
-67,210,984,0
-67,207,1000,0
-76,228,1009,0
-78,249,1009,0
-65,281,1017,0
-53,286,1046,0
-42,270,1061,0
-35,242,1081,0
-40,229,1080,0
-39,216,1104,0
-25,216,1109,0
-14,228,1107,0
-14,260,1087,0
1,273,1064,0
5,286,1037,0
7,305,1030,0
-2,295,1008,0
10,275,992,0
-1,247,1008,0
1,202,1033,0
16,182,1038,0
21,173,1039,0
6,147,1052,0
-11,136,1034,0
-14,132,1001,0
-32,116,978,0
-37,108,977,0
-31,48,1028,0
-34,41,1040,0
-40,23,1054,0
-43,0,1042,0
-54,-29,1075,0
-58,-64,1065,0
-54,-93,1092,0
-69,-121,1072,0
-63,-138,1046,0
-57,-145,1001,0
-60,-147,960,0
-82,-159,948,0
-51,-147,907,0
-70,-131,873,0
-64,-131,857,0
-72,-124,867,0
-71,-103,868,0
-71,-89,863,0
-56,-73,867,0
-56,-68,846,0
-45,-53,842,0
-40,-38,812,0
-52,-32,823,0
-37,-18,833,0
-52,16,830,0
-29,50,838,0
-16,86,849,0
-5,120,844,0
-8,112,824,0
9,102,790,0
2,83,796,0
-3,85,790,0
10,106,822,0
33,132,826,0
49,143,824,0
56,159,830,0
86,169,803,0
87,186,803,0
116,176,817,0
134,183,803,0
136,174,839,0
159,154,821,0
175,154,812,0
169,172,842,0
183,217,845,0
201,269,843,0
195,311,834,0
191,335,810,0
177,373,802,0
190,400,864,0
213,415,896,0
226,404,917,0
246,408,916,0
269,410,947,0
277,405,970,0
287,408,985,0
274,416,994,0
263,411,985,0
252,435,969,0
247,443,962,0
239,451,952,0
239,456,953,0
239,470,961,0
238,494,948,0
256,489,918,0
244,492,927,0
276,493,951,0
302,488,975,0
321,480,1015,0
338,456,1042,0
371,439,1068,0
391,398,1066,0
406,361,1054,0
411,309,1064,0
408,311,1104,0
427,338,1127,0
442,321,1142,0
447,312,1144,0
463,268,1173,0
435,230,1144,0
422,184,1174,0
416,180,1183,0
410,184,1133,0
420,205,1100,0
427,217,1070,0
406,230,1039,0
403,264,1036,0
397,297,1042,0
400,301,1015,0
407,294,1031,0
436,272,1036,0
458,237,1069,0
467,191,1125,0
469,136,1178,0
464,121,1200,0
454,153,1160,0
446,189,1135,0
454,237,1089,0
463,272,1067,0
481,269,1056,0
485,256,1074,0
469,231,1062,0
459,195,1087,0
448,180,1073,0
437,181,1048,0
442,202,1010,0
465,212,1002,0
451,211,1029,0
451,217,1039,0
460,198,1046,0
447,185,1052,0
453,207,1035,0
448,216,1028,0
439,213,1034,0
439,217,1020,0
443,240,1037,0
442,223,1050,0
444,210,1022,0
426,219,1031,0
415,237,1022,0
400,238,989,0
374,269,977,0
393,281,980,0
391,267,993,0
383,245,1008,0
370,204,1004,0
357,192,1008,0
360,190,1021,0
359,186,1032,0
354,181,1053,0
354,152,1066,0
348,125,1065,0
334,76,1071,0
335,75,1049,0
333,88,1053,0
336,88,1069,0
321,103,1069,0
317,117,1091,0
321,134,1090,0
309,97,1075,0
314,67,1077,0
287,70,1046,0
270,59,1058,0
282,48,1030,0
265,57,1031,0
261,62,1032,0
245,62,1022,0
225,81,1060,0
236,80,1024,0
234,76,1000,0
218,48,1031,0
210,0,1006,0
199,-32,1007,0
168,-37,1004,0
173,-4,975,0
160,19,939,0
150,54,936,0
146,65,919,0
122,40,878,0
101,17,912,0
73,-45,950,0
65,-62,957,0
35,-64,949,0
37,-35,945,0
51,-5,906,0
44,4,871,0
38,-6,873,0
34,-11,844,0
13,-18,844,0
1,-37,869,0
9,-51,901,0
-9,-91,952,0
-15,-90,942,0
-32,-86,892,0
-23,-57,841,0
-40,-29,807,0
-38,2,782,0
-33,55,718,0
-9,93,691,0
